"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","966.16666666667","864.83333333333","976.66666666667","1007","969","970.5","1.6666666666667","1","1.1666666666667","1.3333333333333","1","6.3333333333333"
"E2","943.83333333333","956.83333333333","927.5","906","673.5","745.83333333333","2.3333333333333","2","1.5","1.1666666666667","1.6666666666667","5.1666666666667"
"E3","917.5","963.66666666667","913.16666666667","933.66666666667","919.5","955.66666666667","8.8333333333333","9.5","10","9.5","2.5","1.3333333333333"
"E4","537.5","5.8333333333333","933.83333333333","944","841.66666666667","623.83333333333","0.83333333333333","1","1.5","1.6666666666667","2.1666666666667","8"
"E5","937.33333333333","6.6666666666667","967.66666666667","893.83333333333","946.33333333333","653.83333333333","1.1666666666667","1.3333333333333","1.6666666666667","1.1666666666667","1.6666666666667","5.8333333333333"
"E6","984.66666666667","810","960.33333333333","923.33333333333","914.66666666667","882.83333333333","1.5","1.6666666666667","1","0.83333333333333","2","3"
"E7","399","164.33333333333","115.5","528.83333333333","912.66666666667","810","5.5","10.333333333333","8","7.8333333333333","3.3333333333333","2.5"
"E8","74","0","0","31.5","294.33333333333","262.16666666667","1.3333333333333","1.8333333333333","1.8333333333333","2.1666666666667","1.3333333333333","6.5"
"E9","935.83333333333","979","5","953.16666666667","960.5","962.16666666667","6.1666666666667","5.1666666666667","8.5","9.3333333333333","1.6666666666667","4"
"E10","114.66666666667","0.33333333333333","0.16666666666667","497","470.5","968","1.5","1.8333333333333","1.3333333333333","2","1","3.1666666666667"
"E11","953.83333333333","946.66666666667","944.33333333333","973.5","901.33333333333","948.5","9.3333333333333","10.5","8.1666666666667","4.8333333333333","2.8333333333333","4"
"E12","696","0.66666666666667","897.66666666667","962.5","944.33333333333","969.16666666667","5","4.3333333333333","8.5","7.3333333333333","1.6666666666667","0.5"
"E13","763.16666666667","680.66666666667","884","994","890.66666666667","948.83333333333","8","11","4.8333333333333","4.3333333333333","5.1666666666667","3.5"
