"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","960.16666666667","840.16666666667","973.83333333333","1004.1666666667","970.83333333333","962.16666666667","5.8333333333333","4.1666666666667","11.166666666667","8.3333333333333","3","6.6666666666667"
"E2","940.5","946","929.33333333333","893.83333333333","661.5","734","10.666666666667","12.166666666667","12.166666666667","9.5","5.5","4.5"
"E3","821.16666666667","906.83333333333","879.16666666667","877.83333333333","824.83333333333","882.5","7.6666666666667","8.3333333333333","6.8333333333333","6.5","2.6666666666667","2.1666666666667"
"E4","659","5.5","782.16666666667","771.5","692.33333333333","742.83333333333","8.6666666666667","9.6666666666667","7.8333333333333","6","1.8333333333333","5.3333333333333"
"E5","959.5","318.66666666667","936.16666666667","890.83333333333","928.66666666667","704.83333333333","7.1666666666667","1.6666666666667","13.5","9.1666666666667","3.3333333333333","5.1666666666667"
"E6","981.66666666667","930","877.16666666667","894.83333333333","959","921.5","9.1666666666667","10.5","6","13.166666666667","5.1666666666667","5.8333333333333"
"E7","239.5","3","507","631.5","594.33333333333","952.66666666667","5.8333333333333","7.1666666666667","7.5","9.5","2.5","2"
"E8","882","749.33333333333","887.83333333333","897","864.5","796.83333333333","10.166666666667","11","6.6666666666667","11","3.8333333333333","5.1666666666667"
"E9","927.66666666667","971.33333333333","876.16666666667","961.33333333333","956.16666666667","964.33333333333","7.1666666666667","6.5","5.8333333333333","4.3333333333333","1.6666666666667","2"
"E10","408.33333333333","0.33333333333333","510.5","572.83333333333","734.66666666667","925.16666666667","8","14.833333333333","8.5","9.5","4.5","6.3333333333333"
"E11","973","961","977.83333333333","972.83333333333","906.16666666667","944.16666666667","10.333333333333","7.8333333333333","7.5","1.3333333333333","3.8333333333333","3.6666666666667"
"E12","671.83333333333","0.66666666666667","912.16666666667","947.66666666667","959.16666666667","965.16666666667","7.3333333333333","9.1666666666667","9.5","4.6666666666667","1.6666666666667","3.3333333333333"
"E13","675.66666666667","0.5","858.83333333333","998","965.16666666667","969.16666666667","2.5","4.6666666666667","10.5","4","1.5","3.1666666666667"
