"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","965.83333333333","845.16666666667","978","1003","974.16666666667","969.66666666667","3","2.5","3","3","1.1666666666667","4.1666666666667"
"E2","942.5","962.16666666667","919.83333333333","904.5","673.83333333333","722.16666666667","7.6666666666667","1.8333333333333","9.5","8","1.8333333333333","4.3333333333333"
"E3","981.83333333333","990.5","873.16666666667","913","846.5","930.66666666667","5.8333333333333","6.1666666666667","5","7","3.1666666666667","2.5"
"E4","964","835.33333333333","857.83333333333","629.33333333333","901.33333333333","730","2.6666666666667","6.8333333333333","7.1666666666667","5.1666666666667","1.6666666666667","3"
"E5","961.33333333333","7","946.5","915.33333333333","944.66666666667","775.16666666667","4.6666666666667","4.3333333333333","7.6666666666667","6.6666666666667","3.5","3.1666666666667"
"E6","975.5","947.83333333333","761.33333333333","921.5","945.33333333333","916","9.5","6","1.6666666666667","5.5","2.8333333333333","6.1666666666667"
"E7","406.66666666667","2.8333333333333","446","885.33333333333","504","980.16666666667","6.6666666666667","3","6.8333333333333","9.1666666666667","3.1666666666667","2.5"
"E8","833.33333333333","807.33333333333","888.83333333333","850.66666666667","963.16666666667","901.83333333333","4.3333333333333","7.3333333333333","9.1666666666667","6.6666666666667","0.66666666666667","1.1666666666667"
"E9","897","964.16666666667","913.5","974.33333333333","963.33333333333","974.16666666667","4.6666666666667","7.5","8.8333333333333","10.166666666667","3.3333333333333","3.5"
"E10","420.16666666667","0.66666666666667","179.16666666667","854.16666666667","646.83333333333","953","5","6.5","10.833333333333","6.1666666666667","1.6666666666667","3.3333333333333"
"E11","970.83333333333","961","980.83333333333","973.66666666667","924.16666666667","942.66666666667","2.1666666666667","1.5","3","1.3333333333333","1.8333333333333","1.6666666666667"
"E12","604.66666666667","0.66666666666667","889.83333333333","934","961.66666666667","971.33333333333","5.3333333333333","9","9","6.8333333333333","3.1666666666667","3"
"E13","631","9.8333333333333","821.83333333333","988.16666666667","970.16666666667","972.33333333333","0.66666666666667","1.5","2.5","1.5","1.6666666666667","0.83333333333333"
