"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","966.83333333333","857.5","985.83333333333","1005.6666666667","969.83333333333","953.33333333333","1.6666666666667","7.8333333333333","14","2","1.8333333333333","3.3333333333333"
"E2","938.16666666667","959.5","923.83333333333","904.83333333333","663.66666666667","740.33333333333","2.3333333333333","16.333333333333","17.333333333333","5.6666666666667","2.3333333333333","3.5"
"E3","925.16666666667","962.33333333333","880.66666666667","894.5","853.83333333333","925.33333333333","6.1666666666667","8.5","4.8333333333333","5.5","2.1666666666667","1.1666666666667"
"E4","683.33333333333","7","942.33333333333","835.5","905.5","900","4.8333333333333","12.5","20.333333333333","3.5","2","4.1666666666667"
"E5","955.16666666667","122.66666666667","954.16666666667","863.5","939.16666666667","632.83333333333","3.6666666666667","9.5","19.833333333333","1.6666666666667","2","6.6666666666667"
"E6","979.33333333333","794.83333333333","897.83333333333","920.16666666667","937.83333333333","880","2.5","16.833333333333","18.333333333333","1.3333333333333","2.8333333333333","8"
"E7","341.5","118.33333333333","254.5","746.16666666667","685","945","9.1666666666667","9.6666666666667","3.3333333333333","7.6666666666667","1.8333333333333","2.8333333333333"
"E8","870","880.83333333333","889","883","886","813","1.3333333333333","11.666666666667","11.333333333333","2.6666666666667","1.6666666666667","4.6666666666667"
"E9","489.5","589.16666666667","163.66666666667","978.83333333333","721.16666666667","981.83333333333","9.6666666666667","10.833333333333","7.6666666666667","4.6666666666667","3","3"
"E10","413.83333333333","0","484.66666666667","476.66666666667","725","933.83333333333","2.5","20.5","13.333333333333","6","2.1666666666667","4.6666666666667"
"E11","971.66666666667","962.5","973.66666666667","974.66666666667","899.5","943.66666666667","11.666666666667","14.333333333333","15","3.5","4","6"
"E12","659.66666666667","23","917.83333333333","946.5","961.5","965.33333333333","7.3333333333333","6.5","8","2.8333333333333","4","3.3333333333333"
"E13","696.5","13.833333333333","853.33333333333","995.66666666667","954.5","973.33333333333","13.166666666667","8.6666666666667","7","3.1666666666667","4","2.3333333333333"
