"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","964","858.66666666667","971.66666666667","1004.1666666667","974.66666666667","971.66666666667","0.66666666666667","22.5","1.5","1.1666666666667","1.3333333333333","4.1666666666667"
"E2","895.83333333333","957.5","743.66666666667","912.83333333333","670","752.83333333333","4.6666666666667","13.333333333333","4.5","4.3333333333333","1.3333333333333","4.5"
"E3","979.33333333333","998.83333333333","860.33333333333","828.66666666667","886.66666666667","834.66666666667","11.166666666667","8","9.5","7.5","3.3333333333333","2.6666666666667"
"E4","927.5","860.83333333333","833","703","926.5","759.83333333333","5.8333333333333","16.666666666667","2.6666666666667","5.6666666666667","2.5","6.1666666666667"
"E5","952","7","966.66666666667","889.83333333333","950.33333333333","796.5","1.3333333333333","12","2","6.6666666666667","2.5","5.8333333333333"
"E6","983.83333333333","904.5","820.66666666667","897.16666666667","938","902.83333333333","6.5","10.666666666667","4","3.8333333333333","2.1666666666667","5"
"E7","159","117.83333333333","484.83333333333","610.83333333333","692.33333333333","947","4.5","9.1666666666667","8.8333333333333","8.3333333333333","3","2.1666666666667"
"E8","888.16666666667","398","911.33333333333","791","948","859.16666666667","4.5","17.333333333333","4.5","2.3333333333333","3.1666666666667","7.1666666666667"
"E9","938.66666666667","962.16666666667","875.16666666667","953.33333333333","957.33333333333","957.16666666667","8.8333333333333","7.8333333333333","3.6666666666667","6.3333333333333","2.3333333333333","2"
"E10","422.83333333333","0.5","496","791","717.66666666667","930.66666666667","5.6666666666667","16.5","5.1666666666667","2","1.6666666666667","2.6666666666667"
"E11","953.16666666667","955.16666666667","806.33333333333","973.16666666667","933.16666666667","933","10.5","5.1666666666667","8.8333333333333","3","3.5","4"
"E12","525.5","0.66666666666667","914.33333333333","922.33333333333","960.83333333333","961.16666666667","8.3333333333333","8.3333333333333","6.8333333333333","8.5","1.6666666666667","3.5"
"E13","658.33333333333","0.83333333333333","885","981.16666666667","978","967.66666666667","7","10.166666666667","11.5","6.1666666666667","4.5","4.6666666666667"
