"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","964.5","857.33333333333","968.33333333333","1004","970.5","968.66666666667","2","9.1666666666667","9","1.1666666666667","1.6666666666667","4.6666666666667"
"E2","943.16666666667","959.33333333333","928.16666666667","903.66666666667","667.83333333333","746","1.5","11.333333333333","11.666666666667","0.66666666666667","1.5","5.5"
"E3","932.33333333333","964.5","914.83333333333","924.5","930.5","953.5","7","7.5","11","7.5","2.1666666666667","2.3333333333333"
"E4","693","6","629.33333333333","864.83333333333","869.16666666667","687.5","1.6666666666667","8.5","9.1666666666667","1.1666666666667","1.3333333333333","6"
"E5","968.66666666667","7.1666666666667","965.5","837.16666666667","941.5","584.33333333333","1","10.333333333333","12.833333333333","1.1666666666667","2.1666666666667","5.5"
"E6","986.66666666667","957.16666666667","828","910.16666666667","944.16666666667","877.83333333333","1.6666666666667","14.333333333333","10.166666666667","1.6666666666667","1.3333333333333","6.5"
"E7","390.66666666667","310","112.5","825.83333333333","871","915.16666666667","7.6666666666667","9.8333333333333","8.6666666666667","6.8333333333333","3.3333333333333","2.5"
"E8","701.16666666667","750.33333333333","746.66666666667","767.16666666667","674","709.66666666667","2.1666666666667","6.6666666666667","14.166666666667","1.6666666666667","2","6.6666666666667"
"E9","899.83333333333","976.5","4.6666666666667","960.66666666667","954.83333333333","962.83333333333","7.5","5.6666666666667","7.5","9.5","2","2.8333333333333"
"E10","400","0.5","458.83333333333","510.16666666667","729.83333333333","948","1.1666666666667","6.3333333333333","8.5","1","1","5"
"E11","975.83333333333","978.16666666667","973.66666666667","968.5","911.5","942.33333333333","4.5","5.5","5.3333333333333","3.3333333333333","5","5"
"E12","708","13.333333333333","710.83333333333","959.16666666667","938.66666666667","965.16666666667","6.3333333333333","7","7.1666666666667","6.1666666666667","2.3333333333333","3"
"E13","742.66666666667","1","878.5","996","954.16666666667","961","10.333333333333","8.5","11.5","3.3333333333333","3.3333333333333","3.5"
