"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","965.66666666667","855.33333333333","978","1006","973.16666666667","969","1.5","11.166666666667","0.66666666666667","1.6666666666667","1.1666666666667","5.8333333333333"
"E2","936.83333333333","949.16666666667","764.33333333333","900.16666666667","679.66666666667","699.83333333333","1.3333333333333","17.5","1","2","2.1666666666667","6"
"E3","972.66666666667","992.5","880.83333333333","897.5","885.5","944.5","5.6666666666667","8","6.1666666666667","3.8333333333333","3","3.8333333333333"
"E4","936.66666666667","836","850.5","715.16666666667","937.66666666667","800.66666666667","1.5","12.5","1.8333333333333","1.8333333333333","2","4.5"
"E5","960.16666666667","6.8333333333333","966.33333333333","874.5","942.16666666667","755.5","2.1666666666667","7.3333333333333","1.6666666666667","1.6666666666667","1.1666666666667","4.5"
"E6","986","921.33333333333","911.66666666667","826","917.16666666667","888.66666666667","1","12.833333333333","1.8333333333333","1.3333333333333","1.8333333333333","5.6666666666667"
"E7","209.66666666667","315.5","426","726","705","942.33333333333","10.833333333333","7.3333333333333","9.8333333333333","7.8333333333333","1","3.3333333333333"
"E8","884.5","662.16666666667","919.83333333333","804.66666666667","958.33333333333","909.5","1.1666666666667","7","1.1666666666667","1.5","1.1666666666667","4"
"E9","920.33333333333","950.16666666667","886.5","950.16666666667","960.16666666667","954.5","10.166666666667","8","6.6666666666667","8.6666666666667","3.8333333333333","2.1666666666667"
"E10","401.16666666667","0.5","403.5","723.33333333333","721","947.33333333333","1","10.833333333333","1.3333333333333","2.1666666666667","2.3333333333333","8"
"E11","936.5","804.16666666667","947.83333333333","851.83333333333","930.83333333333","819.66666666667","13.333333333333","8.5","7.6666666666667","4","2.5","2.6666666666667"
"E12","610.16666666667","0.5","876.83333333333","916.66666666667","953.5","967","8.5","6.1666666666667","5.6666666666667","6.8333333333333","1.8333333333333","2.6666666666667"
"E13","626","1.1666666666667","867.5","986.33333333333","969.16666666667","968.16666666667","13.833333333333","9.1666666666667","11.666666666667","4","5.8333333333333","4.8333333333333"
