ESTUDIANTE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,APROBO
E1,1,1,1,2,1,1,1,1,1,1,3,3,4,3,1
E2,2,1,2,2,1,1,2,1,1,1,3,3,4,3,1
E3,2,1,1,2,1,1,1,1,1,1,3,3,4,3,1
E4,2,1,1,2,1,1,2,4,3,3,1,2,3,2,0
E5,4,4,4,4,4,3,4,2,4,4,1,2,3,2,1
E6,1,1,1,2,1,2,1,1,1,1,3,3,4,4,1
E7,3,2,3,3,2,4,3,3,2,2,2,1,1,1,0
E8,4,4,1,4,3,3,1,1,1,1,3,1,2,1,1
E9,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1
E10,3,2,3,3,2,4,3,3,2,2,2,1,1,1,0
E11,1,1,1,2,1,1,1,1,1,1,3,3,4,3,1
E12,4,3,4,4,3,3,4,2,3,3,1,2,3,2,1
E13,4,3,4,1,3,3,4,2,3,3,1,3,4,2,0
