"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","962","875.83333333333","980.5","1004","969","964.16666666667","10.333333333333","12.833333333333","13.5","13.5","6.6666666666667","2.1666666666667"
"E2","946.16666666667","954.33333333333","918","902.33333333333","673.16666666667","753.16666666667","11.666666666667","12.166666666667","12","13.166666666667","4.3333333333333","4"
"E3","850.33333333333","927.5","891.66666666667","934.5","890.5","956","6","4.6666666666667","5.6666666666667","6","2.1666666666667","1.8333333333333"
"E4","533","5.8333333333333","967.5","825.5","876.33333333333","608.33333333333","12.666666666667","11.333333333333","6.3333333333333","13.333333333333","4","4.1666666666667"
"E5","874.66666666667","6.3333333333333","961.83333333333","905.33333333333","948","661","9.5","8.8333333333333","13.666666666667","9.3333333333333","3.6666666666667","6.5"
"E6","981.33333333333","777.5","955.5","919.33333333333","923.83333333333","888.16666666667","19.5","14.333333333333","14.833333333333","8.1666666666667","4.8333333333333","3.8333333333333"
"E7","410.16666666667","2.8333333333333","327.5","586.33333333333","846.5","922.16666666667","1.8333333333333","5.5","4.3333333333333","6.1666666666667","2.8333333333333","2.1666666666667"
"E8","128.66666666667","1.3333333333333","0","63.666666666667","355.16666666667","355.33333333333","17.166666666667","16.333333333333","17.666666666667","14.333333333333","3.8333333333333","6.5"
"E9","314.66666666667","322.66666666667","173.16666666667","375.66666666667","499.16666666667","554.33333333333","3.3333333333333","1.5","5.5","6.5","2.8333333333333","2"
"E10","110.16666666667","0.5","0.5","450.16666666667","579","985.33333333333","18.333333333333","4.3333333333333","10.166666666667","13","3.6666666666667","4.8333333333333"
"E11","893","967.33333333333","891.66666666667","974","875.5","957","8.8333333333333","8.1666666666667","10","5.8333333333333","3.8333333333333","2.3333333333333"
"E12","684.5","0.5","890.16666666667","963.33333333333","942.83333333333","969.33333333333","7.1666666666667","2.8333333333333","5.5","6.1666666666667","3.1666666666667","2.1666666666667"
"E13","710.16666666667","582.33333333333","834.66666666667","991.16666666667","857.66666666667","959.33333333333","10.666666666667","12.5","12.666666666667","3.1666666666667","3.6666666666667","3.6666666666667"
