"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","966.16666666667","852.66666666667","982.83333333333","1005.5","973.5","968.83333333333","16","10","8","11.333333333333","5.1666666666667","6.8333333333333"
"E2","941.33333333333","955.5","922.66666666667","896.16666666667","682.33333333333","697.33333333333","12.666666666667","7.6666666666667","10.833333333333","7.5","2.3333333333333","5.8333333333333"
"E3","978.66666666667","995.16666666667","885.83333333333","915.66666666667","881.16666666667","949","8.6666666666667","4.3333333333333","7.5","10","3.8333333333333","2.1666666666667"
"E4","965.5","866","708.83333333333","606","854.33333333333","691.5","5","4.1666666666667","7.1666666666667","2.8333333333333","4","3.8333333333333"
"E5","806.16666666667","146.83333333333","870.33333333333","855.83333333333","859.5","717.16666666667","3.8333333333333","7.6666666666667","10.166666666667","8.6666666666667","2.1666666666667","2.8333333333333"
"E6","969.83333333333","933.5","314","916.33333333333","945.16666666667","923.83333333333","8","7","3.5","12","5","6.6666666666667"
"E7","399.83333333333","2.8333333333333","523","867.66666666667","480.33333333333","977.5","9","8","2.5","8.3333333333333","2.3333333333333","2.5"
"E8","877.16666666667","394.66666666667","929","860","931","890.16666666667","5.8333333333333","10.833333333333","8.6666666666667","6.1666666666667","4.1666666666667","3.1666666666667"
"E9","900.5","968.33333333333","915.33333333333","972","961.66666666667","970.66666666667","8.1666666666667","4.5","7.5","6.5","1.5","1"
"E10","369.83333333333","0.33333333333333","0.16666666666667","655.66666666667","718.66666666667","975.5","10.166666666667","6.3333333333333","7.1666666666667","7.3333333333333","2.3333333333333","5.3333333333333"
"E11","970.33333333333","969","978","976.83333333333","920.83333333333","943.33333333333","2.3333333333333","3","1.5","2.1666666666667","2","1.5"
"E12","600.33333333333","0","882","937.83333333333","956.83333333333","969.5","9.3333333333333","7.6666666666667","6.5","7.6666666666667","2.6666666666667","1.6666666666667"
"E13","629.33333333333","0.66666666666667","804.83333333333","988.5","972.83333333333","975.83333333333","2.1666666666667","3.1666666666667","1.5","2","2.1666666666667","2.6666666666667"
