"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","968.16666666667","853","977.33333333333","1003","967.66666666667","964","16.333333333333","21","22","13.333333333333","5.3333333333333","4.8333333333333"
"E2","956.5","961.16666666667","926.66666666667","893.16666666667","637.16666666667","709.5","14.833333333333","16.333333333333","12.5","16.5","6.5","6.5"
"E3","719.83333333333","920.33333333333","958.83333333333","930.66666666667","923.83333333333","882.16666666667","7","6.5","7","7.5","3.6666666666667","3"
"E4","231.83333333333","1.6666666666667","156.83333333333","264.16666666667","306.16666666667","275.16666666667","14.666666666667","19.5","13.166666666667","9.8333333333333","4.3333333333333","4.6666666666667"
"E5","964.33333333333","7","955.33333333333","918","947.83333333333","798","11.166666666667","18.166666666667","16.5","17","4.8333333333333","7.5"
"E6","980.5","952.16666666667","905.33333333333","902.66666666667","947.33333333333","924.66666666667","9","12.166666666667","15.5","14.666666666667","4.5","2.8333333333333"
"E7","141","2.6666666666667","380.83333333333","700","465.66666666667","981.33333333333","9.1666666666667","7.8333333333333","10.166666666667","6","2.6666666666667","1.6666666666667"
"E8","851.33333333333","681.83333333333","898.66666666667","878.16666666667","921.16666666667","844.66666666667","15.5","15.666666666667","17","14.5","4.3333333333333","7.6666666666667"
"E9","893","940.5","450.83333333333","959.16666666667","965.66666666667","968.33333333333","7.6666666666667","4.8333333333333","9.6666666666667","5.3333333333333","1.6666666666667","2.6666666666667"
"E10","420.5","0.33333333333333","495.66666666667","681.16666666667","711.66666666667","912.5","19.333333333333","10.333333333333","15.833333333333","12.166666666667","5.1666666666667","6"
"E11","972","962.33333333333","979.83333333333","975.5","915.83333333333","942","2.3333333333333","1.8333333333333","2","2.5","1.5","1.5"
"E12","696.83333333333","0.5","890.5","946.33333333333","956.5","964.83333333333","8.3333333333333","7","5.1666666666667","5.8333333333333","1.8333333333333","1"
"E13","620.66666666667","0.83333333333333","830","994.33333333333","965.66666666667","971.5","2","1.8333333333333","2.1666666666667","2.6666666666667","2.1666666666667","1.3333333333333"
